# 1:lamst 2:lamfst 3:disk_data_1[0] 4:disk_data_1[1] 5:disk_data_1[0] 6:disk_data_1[1] 7:disk_data_3[0] 8:disk_data_3[1] 
9.999999999999999547e-07 4.304357988218943192e-156 4.999999999999999020e-04 4.798994076430735130e-06 1.000000000000000048e-04 4.143514070410770236e-46 5.999999999999997306e-04 5.233458322033919867e-14
1.059560179277617014e-06 2.111584449726230121e-147 5.134911573176754139e-04 4.240953036682065687e-06 1.035321843295662701e-04 1.015930361689391751e-44 6.156251015454120143e-04 6.649822199724412278e-14
1.122667773510813544e-06 3.319983555559307351e-139 5.273463372868919270e-04 3.732367693055064399e-06 1.071891319205127554e-04 2.224351030544319550e-43 6.316571094213316827e-04 8.377342630151233869e-14
1.189534067370320708e-06 1.783484467283744648e-131 5.415753620813668198e-04 3.269016951293711358e-06 1.109752496412072157e-04 4.366061060729810869e-42 6.481066202156474674e-04 1.046599981536621836e-13
1.260382929679727474e-06 3.477168011443190883e-124 5.561883188998003333e-04 2.847761141180565019e-06 1.148951000187308635e-04 7.712017460294940528e-41 6.649845064708531867e-04 1.296985679999701601e-13
1.335451562929900098e-06 2.604643406811266844e-117 5.711955671168616458e-04 2.464615241863330494e-06 1.189534067370319513e-04 1.230342566888947735e-39 6.823019238704081937e-04 1.594667768486885211e-13
1.414991297434575852e-06 7.910238159455635477e-111 5.866077456271271556e-04 2.116621936412703825e-06 1.231550603292826216e-04 1.779087156817990774e-38 7.000703186122503091e-04 1.945742181797638392e-13
1.499268432786047032e-06 1.024682394018944861e-104 6.024357803871722159e-04 1.800879713241172284e-06 1.275051240713012809e-04 2.339707545604084293e-37 7.183014349743255126e-04 2.356562357638508137e-13
1.588565129428052708e-06 5.939477742497691157e-99 6.186908921611720610e-04 1.514721994600801139e-06 1.320088400831418048e-04 2.807679249872785725e-36 7.370073230771408048e-04 2.833667404175005214e-13
1.683180353330958455e-06 1.611751541263091989e-93 6.353846044754914851e-04 1.255689345196259330e-06 1.366716356462005988e-04 3.084134135170010386e-35 7.562003468484621189e-04 3.383702737425516360e-13
1.783430876931909385e-06 2.136814517012443167e-88 6.525287517879071932e-04 1.021522565273956599e-06 1.414991297434575767e-04 3.110631652721977782e-34 7.758931921954340940e-04 4.013336062168616110e-13
1.889652339691211599e-06 1.440923743719296776e-83 6.701354878772612482e-04 8.101366692147462653e-07 1.464971398307286375e-04 2.889190300470392835e-33 7.960988753895129055e-04 4.729172069535795849e-13
2.002200371815584564e-06 5.133625681323431456e-79 6.882172944594806439e-04 6.196146736399339590e-07 1.516716888470922469e-04 2.478295480656345234e-32 8.168307516697622924e-04 5.537669598032005998e-13
2.121451784910631934e-06 1.001595383662328544e-74 7.067869900360763871e-04 4.481962888434313478e-07 1.570290124729377390e-04 1.968668200086158499e-31 8.381025240701881450e-04 6.445065227085761755e-13
2.247805833548725500e-06 1.106995039598720177e-70 7.258577389814024373e-04 2.942551475920364453e-07 1.625755666443793484e-04 1.452061778199925714e-30 8.599282524769598412e-04 7.457307327156110818e-13
2.381685551976160786e-06 7.155801324733059830e-67 7.454430608751030658e-04 1.563010837303514600e-07 1.683180353330956719e-04 9.970120360311452524e-30 8.823223629214946686e-04 8.580004472204169062e-13
2.523539170434765982e-06 2.788201898418340746e-63 7.655568400863749495e-04 3.296111549767603465e-08 1.742633386009650781e-04 6.388347600395628937e-29 9.052996571155553628e-04 9.818391834499566291e-13
2.673841615839949212e-06 6.737543247832565400e-60 7.862133356168305668e-04 2.772519761602158744e-39 1.804186409392071779e-04 3.828966294937856358e-28 9.288753222346511932e-04 1.117731874493924799e-12
2.833096101839324281e-06 1.037178966751266110e-56 8.074271912089526354e-04 1.733450877611276179e-38 1.867913599020782809e-04 2.151665927918183834e-27 9.530649409562244991e-04 1.266126004122338685e-12
3.001835813575591919e-06 1.043249978425275548e-53 8.292134457272910993e-04 1.030241735370917347e-37 1.933891750455229996e-04 1.136131679698676150e-26 9.778845017592457424e-04 1.427435317690658656e-12
3.180625692794119338e-06 7.022546224318627992e-51 8.515875438197684092e-04 5.828358886702960230e-37 2.002200371815584547e-04 5.648972237240799446e-26 1.003350409492034323e-03 1.602046236849726253e-12
3.370064329271931692e-06 3.235767957772009246e-48 8.745653468666590930e-04 3.142727168137161550e-36 2.072921779595371958e-04 2.650275902356818117e-25 1.029479496215274410e-03 1.790327036118547805e-12
3.570785964900462606e-06 1.042534695741635514e-45 8.981631442249901317e-04 1.617257704949296036e-35 2.146141197858403608e-04 1.175591263054855819e-24 1.056289032327413502e-03 1.992639774316998978e-12
